CITYNAME,UNIQUEID,COPD,CHD,Diabetes,High Blood Pressure,High Cholesterol,Cholesterol Screening,Lack of Health Insurance,Taking Medicine for High Blood Pressure,Doctor Visits,Binge Drinking,Smoking,No Leisure Time,Obesity,Sleeping less than 7 hours
Chattanooga,4714000,17.9,14.3,25.4,79.1,70.9,153,32.9,147,144.7,25.9,47.4,58.6,68.1,80
Chattanooga,4714000-47065000400,13.7,10.5,23.7,57.6,43.3,72.9,26.3,84.3,78.9,8,32.6,46.3,48,50
Chattanooga,4714000-47065000600,5.6,5.3,7.4,29.8,33.2,81.6,8.4,76.9,69.6,16.6,15.7,17.7,25.3,32.8
Chattanooga,4714000-47065000700,5,4.2,6.2,25.6,29.9,78.2,8.6,73.4,68,17.6,15.7,16.8,24.3,32.8
Chattanooga,4714000-47065000800,7.4,5.4,10.2,33.2,33,74.3,14.9,75.4,68.7,15.3,24.1,25.9,32.3,39.4
Chattanooga,4714000-47065001100,9.4,7.5,16.3,45.7,38.7,70.6,20.1,80.4,73.4,11.7,25.8,34.1,40.1,44.1
Chattanooga,4714000-47065001200,12.7,10.4,21.4,54.3,42.2,74.2,23,84.3,79.1,8,27.6,42.2,43.7,46.7
Chattanooga,4714000-47065001300,11.6,7.7,16.6,43.6,38.2,67.2,28,77.5,70.6,10.7,32.2,40.5,42.8,46.1
Chattanooga,4714000-47065001400,7.6,5.3,11.4,34.2,32.6,67.6,21.5,74.4,69.1,13.9,25.1,30.6,35.1,41.8
Chattanooga,4714000-47065001600,22,16.3,31.2,63.1,50.8,70.6,30,86.3,78.5,5.5,38.1,55.6,52.4,49.8
Chattanooga,4714000-47065001800,7.1,6,10.4,36.5,35.8,78.1,12.5,79.2,71,14.8,20,23.4,29.8,36.8
Chattanooga,4714000-47065001900,15,10.6,23.8,54.9,42.2,69.9,28.8,82.7,77.2,7.6,35.2,48.3,49.5,50.7
Chattanooga,4714000-47065002000,7.9,6.7,13.8,40.6,36.4,74.2,17,79.6,71.4,13,23.2,28.6,35.4,40.8
Chattanooga,4714000-47065002300,17.4,11.9,20.1,47,43.9,69.2,31.3,79.9,69,9.6,38.3,47.5,44.2,45.4
Chattanooga,4714000-47065002400,14.9,9.8,16.1,43.2,42.3,65.4,29.6,77.3,67.4,10.6,35.8,43.2,40.7,43.7
Chattanooga,4714000-47065002500,13.3,8.8,16.7,44.6,40.4,67.3,27.2,78.1,70.9,10,33.9,41.9,42.5,45.6
Chattanooga,4714000-47065002600,11.3,7.5,15.4,42,38.8,62.3,32.7,75.2,68.3,11.5,32.6,41.3,41.9,45.7
Chattanooga,4714000-47065002800,6.5,5.6,9.2,33.8,34.6,81.9,10.6,78.4,71.7,15.1,18.5,21.4,29,36.2
